Distance,Amp_laser,Amp_Kinect,Freq_laser,Freq_Kinect
m,mm,mm,Hz,Hz
0.6,3.5912,3.7471,2.9297,3.0469
0.7,3.6436,3.7693,2.9297,3.0469
0.8,3.3977,3.5309,2.9297,3.0469
0.9,3.3184,3.9472,2.9297,3.0469
1.0,3.4799,3.8762,2.9297,3.0469
1.1,2.8182,3.3469,2.9297,3.0469
1.2,3.5689,3.4123,2.9297,3.0469
1.3,3.5156,4.1831,2.9297,3.0469
1.4,3.5689,3.8014,2.9297,3.0469
1.5,3.5866,3.7021,2.9297,3.0469
1.6,3.3193,3.9947,2.9297,3.0469
1.7,3.6006,3.3928,2.9297,3.0469
1.8,2.9406,3.7304,2.9297,3.0469
1.9,3.4402,3.6292,2.9297,3.0469
2.0,3.4812,3.6650,2.9297,3.0469
2.1,3.3558,3.7242,2.9297,3.0469
2.2,3.6869,3.2098,2.9297,3.0469
2.4,3.6252,3.6887,2.9297,3.0469
