Distance,Amp_laser,Amp_Kinect,Freq_laser,Freq_Kinect
m,mm,mm,Hz,Hz
0.6,4.0443,4.0576,2.9297,3.0469,
0.7,4.0231,4.2445,2.9297,3.0469,
0.8,4.0223,4.9168,2.9297,3.0469,
0.9,3.9492,3.8423,2.9297,3.0469,
1.0,3.9492,3.8250,2.9297,3.0469,
1.1,4.0293,3.7798,2.9297,3.0469,
1.2,3.9923,3.8407,2.9297,3.0469,
1.3,4.0283,3.9724,2.9297,3.0469,
1.4,4.0283,3.9724,2.9297,3.0469,
1.5,4.0236,3.9821,2.9297,3.0469,
1.6,3.9553,3.8803,2.9297,3.0469,
1.7,3.9883,3.7485,2.9297,3.0469,
1.8,4.0009,4.2736,2.9297,3.0469,
1.9,3.8740,3.7345,2.9297,3.0469,
2.0,3.8740,3.7345,2.9297,3.0469,
2.1,4.0061,4.0639,2.9297,3.0469,
2.2,3.9524,3.8414,2.9297,3.0469,
2.3,3.9657,3.8111,2.9297,3.0469,
2.4,3.9088,3.5520,2.9297,3.0469,
2.5,3.9085,3.8509,2.9297,3.0469,
2.6,3.9635,3.6743,2.9297,3.0469,
